,director,runtime,release_year,category,cast1,cast2,cast3,genre
269,Rick Famuyiwa,103.0,2015,1,Shameik Moore, Kiersey Clemons, Tony Revolori,Crime
270,John Erick Dowdle,103.0,2015,1,Owen Wilson, Lake Bell, Pierce Brosnan,Action
271,Gilles Paquet-Brenner,113.0,2015,1,Charlize Theron, Nicholas Hoult, Christina Hendricks,Drama
272,Michael Dougherty,98.0,2015,1,Adam Scott, Toni Collette, Allison Tolman,Horror
273,Scott Mann,93.0,2015,1,Jeffrey Dean Morgan, Robert De Niro, Kate Bosworth,Crime
274,Scott Cooper,122.0,2015,1,Johnny Depp, Joel Edgerton, Benedict Cumberbatch,Crime
275,M. Night Shyamalan,94.0,2015,1,Olivia DeJonge, Ed Oxenbould, Kathryn Hahn,Horror
276,Christopher B. Landon,93.0,2015,1,Tye Sheridan, Logan Miller, Joey Morgan,Comedy
277,Jeremy Garelick,101.0,2015,1,Kevin Hart, Josh Gad, Kaley Cuoco,Comedy
278,Doug Ellin,104.0,2015,1,Jeremy Piven, Adrian Grenier, Jerry Ferrara,Comedy
279,Bharat Nalluri,104.0,2015,1,Peter Firth, Kit Harington, Jennifer Ehle,Thriller
280,Rob Cohen,91.0,2015,1,Jennifer Lopez, Ryan Guzman, Ian Nelson,Thriller
